D. Mahmudov,Denis Mahmudov,80
D. Malone,Dion Malone,80
D. McMillan,David McMillan,80
D. Khocholava,Davit Khotcholava,80
M. Wohlgemuth,Mikkel Wohlgemuth,80
S. Thioub,Sada Thioub,80
D. Mihajlovic,Dragan Mihajlovic,80
S. Nakajima,Shoya Nakajima,80
K. Zapolnik,Kamil Zapolnik,80
D. N'Doye,Dame N'Doye,80
D. Pakulski,Dawid Pakulski,80
M. Zapytowski,Marcel Zapytowski,80
D. Gallagher,Sam Gallagher,80
K. Sema,Ken Sema,80
K. Schmeichel,Kasper Schmeichel,80
D. Sołdecki,Dawid Sołdecki,80
K. Wrzesiński,Konrad Wrzesiński,80
S. Tibbling,Simon Tibbling,80
D. Benaglio,Diego Benaglio,80
Carlos Blanco,Carlos Bacca,80
L. Bender,Lars Bender,80
S. Lichtsteiner,Stephan Lichtsteiner,80
M. Stekelenburg,Maarten Stekelenburg,80
C. Cathcart,Craig Cathcart,80
C. Adjapong,Claud Adjapong,80
L. Hrádecký,Lukáš Hrádecký,80
Bruno Silva,Bernardo Silva,80
Dani Gómez,Maxi Gómez,80
L. Hutten,Lars Hutten,80
L. Guwara,Leon Guwara,80
T. Browning,Tyias Browning,80
L. Kramer,Lars Kramer,80
T. Deeney,Troy Deeney,80
L. Malicsek,Lukas Malicsek,80
L. Marković,Lazar Marković,80
T. Doornbusch,Trevor Doornbusch,80
M. Shaparenko,Mykola Shaparenko,80
L. Menalo,Luka Menalo,80
T. Kortegaard,Thomas Kortegaard,80
T. Monconduit,Thomas Monconduit,80
T. Casali,Tino Casali,80
L. Grozurek,Lukas Grozurek,80
L. Haraslín,Lukáš Haraslín,80
M. Svilar,Mile Svilar,80
L. De Silvestri,Lorenzo De Silvestri,80
C. Stefańczyk,Cezary Stefańczyk,80
C. Smalling,Chris Smalling,80
C. Philipps,Chris Philipps,80
L. Ferguson,Lewis Ferguson,80
C. Mitchell,Conor Mitchell,80
D. de Wit,Dani de Wit,80
S. Mandanda,Steve Mandanda,80
D. van Crooij,Delano van Crooij,80
S. Meusburger,Stefan Meusburger,80
K. Scherpen,Kjell Scherpen,80
K. Taylor,Kyle Taylor,80
L. Gordon,Liam Gordon,80
C. McHugh,Carl McHugh,80
C. Lustenberger,Claudio Lustenberger,80
J. MacDonald,Jamie MacDonald,81
J. Osobiński,Jakub Osobiński,81
M. Hinteregger,Martin Hinteregger,81
J. Jantscher,Jakob Jantscher,81
M. Zimmermann,Jan Zimmermann,81
P. Kadeřábek,Pavel Kadeřábek,81
J. Johansson,Jakob Johansson,81
M. Halstenberg,Marcel Halstenberg,81
J. Kirkpatrick,Jordan Kirkpatrick,81
P. Malarczyk,Piotr Malarczyk,81
M. Kosanović,Miloš Kosanović,81
M. El Allouchi,Mounir El Allouchi,81
M. Gaćinović,Mijat Gaćinović,81
K. Strootman,Kevin Strootman,81
M. Gibbs-White,Morgan Gibbs-White,81
K. De Bruyne,Kevin De Bruyne,81
J. Lascelles,Jamal Lascelles,81
M. Köstenbauer,Marcel Köstenbauer,81
M. Antenucci,Mirco Antenucci,81
P. Golubović,Petar Golubović,81
M. Meilinger,Marco Meilinger,81
K. Angielski,Karol Angielski,81
J. Van Damme,Jelle Van Damme,81
O. Threlkeld,Oscar Threlkeld,81
M. Mešanović,Muris Mešanović,81
N. Ben Khalifa,Nassim Ben Khalifa,81
J. Vestergaard,Jannik Vestergaard,81
M. Musacchio,Mateo Musacchio,81
O. Hiljemark,Oscar Hiljemark,81
L. Agbenyenu,Lumor Agbenyenu,81
L. Fernandes,Lukas Fernandes,81
M. Papadopulos,Michal Papadopulos,81
J. van der Heijden,Jan-Arie van der Heijden,81
L. Griffiths,Leigh Griffiths,81
J. Żubrowski,Jakub Żubrowski,81
O. Christensen,Oliver Christensen,81
Jordi Quintillà,Jordi Quintillà Guasch,81
L. Stevenson,Lewis Stevenson,81
N. Vujadinović,Nikola Vujadinović,81
Jesús Jiménez,Jesús Jiménez Núñez,81
M. Mølvadgaard,Marcus Mølvadgaard,81
J. Torunarigha,Jordan Torunarigha,81
J. Thomassen,Jordy Thomassen,81
M. Andreolli,Marco Andreolli,81
M. Christensen,Magnus Christensen,81
J. Radošević,Josip Radošević,81
M. Makuszewski,Maciej Makuszewski,81
J. Riedewald,Jaïro Riedewald,81
M. Wasielewski,Marcin Wasielewski,81
M. Blauensteiner,Michael Blauensteiner,81
J. Schendelaar,Jasper Schendelaar,81
J. Schuurman,Jesse Schuurman,81
P. Filipović,Petar Filipović,81
J. Skov Hansen,Jannik Skov Hansen,81
M. Batshuayi,Michy Batshuayi,81
K. Świderski,Karol Świderski,81
M. Balotelli,Mario Balotelli,81
