,full_name,Current Club,nationality,minutes_played_overall,goals_overall,clean_sheets_overall
287,Enock Mwepu,Salzburg,Zambia,876,1,9
288,Mahamadou Dembele,Salzburg,France,0,0,0
289,Andrei Virgil Ivan,Rapid Wien,Romania,1221,1,10
290,Yusuf Otubanjo,LASK Linz,Nigeria,914,2,8
291,Reuben Acquah,Hartberg,Ghana,90,0,0
292,Muhamed Kiprit,Wacker Innsbruck,Germany,187,0,0
293,Meris Skenderović,Hartberg,Germany,126,0,0
294,Matthäus Taferner,Wacker Innsbruck,Austria,562,1,2
295,Jonathan Scherzer,Admira,Austria,910,0,4
296,Murat Şatin,Wacker Innsbruck,Turkey,807,1,2
297,Mateo Barać,Rapid Wien,Croatia,911,0,5
298,Krešimir Kovačević,Hartberg,Croatia,261,3,0
299,Saša Jovanović,Wolfsberger AC,Serbia,235,1,5
300,Patrik Gregora,Admira,Slovakia,0,0,0
301,Alon Turgeman,Austria Wien,Israel,743,6,3
302,Mirko Kos,Austria Wien,Austria,0,0,0
303,Manuel Botic,Admira,Austria,0,0,0
304,Manprit Sarkaria,Austria Wien,Austria,127,0,2
305,Antoine Bernede,Salzburg,France,134,0,2
306,Anderson dos Santos Gomes,Rheindorf Altach,Brazil,520,1,1
307,Brian Mwila,Rheindorf Altach,Zambia,377,2,1
308,Alexander Eckmayr,Wacker Innsbruck,Austria,0,0,0
309,Lars Nussbaumer,Rheindorf Altach,Austria,0,0,0
310,Sebastian Mann,Hartberg,Austria,0,0,0
311,Christopher Giuliani,Sturm Graz,Austria,0,0,0
312,Nemanja Celic,LASK Linz,Austria,0,0,0
313,Bajram Syla,Wolfsberger AC,Austria,0,0,0
314,Lukas Schöfl,Wolfsberger AC,Austria,6,0,1
315,Johannes Handl,Wacker Innsbruck,Austria,90,0,0
316,Dominik Puster,Admira,Austria,0,0,0
317,Marco Kadlec,Admira,Austria,128,0,3
318,Dominik Fitz,Austria Wien,Austria,48,0,1
319,Michael Tercek,St. Pölten,Austria,0,0,0
320,Sebastian Bauer,Admira,Austria,2160,0,6
321,Mert Müldür,Rapid Wien,Turkey,1916,0,10
322,Aleksandar Kostic,Rapid Wien,Serbia,107,0,1
323,David Sauer,St. Pölten,Austria,0,0,0
324,Patrick Obermüller,Rapid Wien,Austria,69,0,0
325,Maximilian Schiener,St. Pölten,Austria,0,0,0
326,Emanuel Aiwu,Admira,Austria,1529,3,2
327,Robert Martic,Wacker Innsbruck,Austria,0,0,0
328,Manuel Pfeifer,Hartberg,Austria,0,0,0
329,Tobias Okiki Lawal,LASK Linz,Austria,0,0,0
330,Christoph Halper,Mattersburg,Austria,325,1,3
331,Raphael Renger,Mattersburg,Austria,0,0,0
332,Darko Todorović,Salzburg,Bosnia and Herzegovina,844,0,5
333,Ahogrenashinme Kigbu,Wolfsberger AC,England,45,0,1
334,Marcel Köstenbauer,Admira,Austria,0,0,0
335,Jasper van der Werff,Salzburg,Switzerland,270,0,1
336,Samuel Yves Oum Gwet,Rheindorf Altach,Cameroon,1971,2,4
337,Youba Diarra,Hartberg,Mali,888,0,0
338,Mohamed Camara,Hartberg,Mali,447,0,0
339,Sekou Koita,Wolfsberger AC,Mali,1115,5,2
340,Noah Steiner,St. Pölten,Austria,0,0,0
341,Vesel Demaku,Austria Wien,Austria,657,0,3
342,Robert Ljubicic,St. Pölten,Austria,1774,1,9
343,Abdoul Karim Conte,Wacker Innsbruck,Guinea,46,0,0
344,João Klauss De Mello,LASK Linz,Brazil,1024,3,7
345,Nicholas Wunsch,Rapid Wien,Austria,43,0,1
346,In-pyo Oh,LASK Linz,South Korea,19,0,1
347,Tobias Koch,Sturm Graz,Austria,16,0,0
348,Morten Hjulmand,Admira,Denmark,2252,0,6
349,Aleksandar Jukic,Austria Wien,Austria,0,0,0
